Name                                    Type     CAS         Formula         pKa
4-F-2,6-(NO2)2-Phenol                    OH    364-32-9       C6H3FN2O5      16.17
(4-CF3-C6F4)2CHCN                        CH    58432-55-6     C16HF14N       16.12
4-CF3-C6F4-CH(CN)COOEt                   CH    32251-53-9     C12H6F7NO2     16.07
(4-NC5F4)(2-C10F7)CHCN                  CH    62325-37-5     C17HF11N2      16.01
4-NO2-C6H4-SO2-NH-CO-C6H4-4-Me           NH    854631-03-1    C14H12N2O5S    15.68
4-NC5F4-OH                               OH    2693-66-5      C5HF4NO        15.39
4-NC5F4-CH(CN)COOEt                      CH    55810-61-2     C10H6F4N2O2    14.89
3-CF3-C6H4-CH(CN)2                       CH    99726-60-0     C10H5F3N2      14.70
Saccharin                                NH    81-07-2        C7H5NO3S       14.57
3-NO2-C6H4-SO2-NH-CO-C6H4-3-Cl           NH    1378040-90-4   C13H9ClN2O5S   14.55
4-NO2-C6H4-SO2-NH-CO-C6H4-3-Cl           NH                   C13H9ClN2O5S   14.43
2-Cl-4,6-(NO2)2-Phenol                   OH    946-31-6       C6H3ClN2O5     14.23
9-Phenanthrene]-BPA-[H8]                 OH    934201-93-1    C48H37O4P      13.97
4-Me-C6F4-CH(CN)2                        CH    64934-71-0     C10H4F4N2      13.87
[2,4,6-i-Pr3-C6H2]-BPA                   OH    791616-63-2    C50H57O4P      13.63
RR-3,5-(CF3)2-Ph-CXCC-Br4-benzoicacid    OH    2489223-24-5   C23H16Br4F6N2O4S   13.55 
(4-NC5F4)2CHCN                           CH    64934-72-1     C12HF8N3        13.47
2,3,4,5,6-(CF3)5-C6-CH(CN)COOEt          CH    2226486-80-0   C16H6F15NO2     13.41
[9-Phenanthrene]-BPA                     OH    864943-22-6    C48H29O4P       13.32
C6F5-CH(CN)2                             CH    719-38-0       C9HF5N2         13.01
4-H-C6F4-CH(CN)2                         CH    55810-63-4     C9H2F4N2        12.98
[Ph]-BPA                                 OH    695162-86-8    C32H21O4P       12.73
3-CF3-4-NO2-Ph-CACC-Br4-benzoicacid      OH    2408902-84-9   C22H17Br4F3N4O5S 12.69
[4-F-C6H4]-BPA                           OH    915038-14-1    C32H19F2O4P     12.46
3,5-(CF3)2-Ph-CACC-Br4-benzoicacid       OH    1541182-00-6   C23H17Br4F6N3O3S   12.40
2-C10F7-CH(CN)2                          CH    62325-35-3     C13HF7N2         12.23
Tos2NH                                   NH    3695-00-9      C14H15NO4S2      11.97
Ph-SO2-NH-SO2-Me                         NH    14561-75-2     C7H9NO4S2        11.89
RS-3,5-(CF3)2-Ph-CXCC-Br4-benzoicacid    OH    2489223-25-6   C23H16Br4F6N2O4S   11.80
4-NO2-C6H4-CH(CN)2                       CH    7077-65-8      C9H5N3O2         11.61
4-MeO-C6H4-CO-NH-Tf                      NH    39063-05-3     C9H8F3NO4S       11.60 
C6F5-NH-Tf                               NH    23383-99-5     C7HF8NO2S        11.48 
4-Me-C6H4-CO-NH-Tf                       NH    343337-70-2    C9H8F3NO3S       11.46
(C6H5-SO2)2NH                            NH    2618-96-4      C12H11NO4S2      11.35
4-MeO-C6H4-SO2-NH-SO2-C6H4-4-Cl          NH                   C13H12ClNO5S2    11.29
C6F5-NH-SO2-C4F9                         NH    958028-58-5    C10HF14NO2S      11.25
C6F5-NH-SO2-C8F17                        NH    1685282-48-7   C14HF22NO2S      11.19
